date,close,volume,upper_band,middle_band,lower_band,macd,macd_signal,macd_hist,volatility
2024-07-01,35000,1000,,,,,,,
2024-07-02,35500,1100,,,,,,,
2024-07-03,35300,1050,,,,,,,
2024-07-04,35800,1200,,,,,,,
2024-07-05,36000,1250,,,,,,,
2024-07-06,36200,1300,,,,,,,
2024-07-07,36500,1350,,,,,,,
2024-07-08,36800,1400,,,,,,,
2024-07-09,37000,1450,,,,,,,
2024-07-10,37200,1500,,,,,,,
2024-07-11,37400,1550,,,,,,,
2024-07-12,37600,1600,,,,,,,
2024-07-13,37800,1650,,,,,,,
2024-07-14,38000,1700,,,,,,,
2024-07-15,38200,1750,,,,,,,
2024-07-16,38400,1800,,,,,,,
2024-07-17,38600,1850,,,,,,,
2024-07-18,38800,1900,,,,,,,
2024-07-19,39000,1950,,,,,,,
2024-07-20,39200,2000,39737.91498073161,37215.0,34692.08501926839,,,,1294.22807719098
2024-07-21,39400,2050,39913.93122131293,37435.0,34956.06877868707,,,,1271.6648846875314
2024-07-22,39600,2100,40123.06262506607,37640.0,35156.93737493393,,,,1273.7842500947538
2024-07-23,39800,2150,40273.54728000095,37865.0,35456.45271999905,,,,1235.5586846272713
2024-07-24,40000,2200,40459.009228170056,38075.0,35690.990771829944,,,,1222.9709296368485
2024-07-25,40200,2250,40640.65277577151,38285.0,35929.34722422849,,,,1208.4243764854232
2024-07-26,40400,2300,40818.33811572917,38495.0,36171.66188427083,,,,1191.8473056562107
2024-07-27,40600,2350,41006.512518934156,38700.0,36393.487481065844,,,,1183.2159566199086
2024-07-28,40800,2400,41206.512518934156,38900.0,36593.487481065844,,,,1183.2159566199075
2024-07-29,41000,2450,41406.512518934156,39100.0,36793.487481065844,,,,1183.2159566199061
2024-07-30,41200,2500,41606.512518934156,39300.0,36993.487481065844,,,,1183.2159566199048
2024-07-31,41400,2550,41806.512518934156,39500.0,37193.487481065844,,,,1183.2159566199036
2024-08-01,41600,2600,42006.512518934156,39700.0,37393.487481065844,,,,1183.215956619902
2024-08-02,41800,2650,42206.512518934156,39900.0,37593.487481065844,,,,1183.215956619901
2024-08-03,42000,2700,42406.512518934156,40100.0,37793.487481065844,1435.325273217437,1449.0140436082609,-13.688770390823947,1183.2159566198995
2024-08-04,42200,2750,42606.512518934156,40300.0,37993.487481065844,1432.7085863124448,1445.7529521490976,-13.044365836652787,1183.2159566198982
2024-08-05,42400,2800,42806.512518934156,40500.0,38193.487481065844,1430.2857280670796,1442.659507332694,-12.373779265614303,1183.2159566198968
2024-08-06,42600,2850,43006.512518934156,40700.0,38393.487481065844,1428.042340802851,1439.7360740267254,-11.69373322387446,1183.2159566198955
2024-08-07,42800,2900,43206.512518934156,40900.0,38593.487481065844,1425.9651303730134,1436.981885295983,-11.01675492296954,1183.215956619894
2024-08-08,43000,2950,43406.512518934156,41100.0,38793.487481065844,1424.041787382419,1434.39386571327,-10.3520783308511,1183.215956619893
2024-08-09,43200,3000,43606.512518934156,41300.0,38993.487481065844,1422.2609142429792,1431.967275419212,-9.706361176232804,1183.2159566198916
2024-08-10,43400,3050,43806.512518934156,41500.0,39193.487481065844,1420.6119576323908,1429.6962118618478,-9.084254229456974,1183.2159566198902
2024-08-11,43600,3100,44006.512518934156,41700.0,39393.487481065844,1419.0851459559199,1427.5739986806623,-8.4888527247424,1183.2159566198889
2024-08-12,43800,3150,44206.512518934156,41900.0,39593.487481065844,1417.6714314406636,1425.5934852326625,-7.922053791998906,1183.2159566198875
2024-08-13,44000,3200,44406.512518934156,42100.0,39793.487481065844,1416.3624365191354,1423.747275489957,-7.384838970821647,1183.2159566198861
2024-08-14,44200,3250,44606.512518934156,42300.0,39993.487481065844,1415.1504041843873,1422.0279012288431,-6.877497044455822,1183.215956619885
2024-08-15,44400,3300,44806.512518934156,42500.0,40193.487481065844,1414.0281520225835,1420.4279513875913,-6.399799365007766,1183.2159566198836
2024-08-16,44600,3350,45006.512518934156,42700.0,40393.487481065844,1412.98902965054,1418.940167040181,-5.951137389640962,1183.2159566198823
2024-08-17,44800,3400,45206.512518934156,42900.0,40593.487481065844,1412.0268793060532,1417.5575094933554,-5.530630187302222,1183.215956619881
2024-08-18,45000,3450,45406.512518934156,43100.0,40793.487481065844,1411.1359993574588,1416.273207466176,-5.137208108717232,1183.2159566198795
2024-08-19,45200,3500,45606.512518934156,43300.0,40993.487481065844,1410.311110516166,1415.080788076174,-4.769677560007949,1183.2159566198784
2024-08-20,45400,3550,45806.512518934156,43500.0,41193.487481065844,1409.5473245520043,1413.9740953713401,-4.426770819335843,1183.215956619877
